Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,,,,,,,,,,,,,
25,pasta salad recipes,24,"10%","10%","-6%",20,15,19,20,22,24,31,37,28,33,31,34,36,44,54,77,44,48,56,52,100,47,41,36,34,31,32,29,32,36,25,24,21,18,19,16,16,16,15,14,14,15,10,12,14,16,12,11,12,12,13,16,17,14,16,18,20,23,24,29,30,34,30,29,34,43
26,buffalo chicken dip,23,"300%","20%","-10%",100,9,8,8,8,8,9,10,9,8,9,8,9,9,10,13,9,9,10,10,19,11,9,9,9,9,10,11,13,19,22,18,17,16,15,17,18,21,16,15,18,23,16,18,26,48,38,12,13,17,16,22,90,10,9,7,8,9,9,9,9,9,9,9,9,9
27,salmon recipes,23,"-20%","20%","-10%",88,92,98,97,92,91,88,79,85,83,83,81,79,80,78,70,80,79,76,77,67,78,82,80,80,78,79,80,80,70,76,72,70,68,66,64,64,57,70,69,65,44,53,62,57,45,59,88,90,86,86,85,72,85,88,88,85,81,79,77,74,73,69,73,71,70
28,chicken thigh recipes,23,"-20%","30%","-10%",72,83,93,90,84,82,84,70,88,82,85,84,78,74,77,67,76,71,66,73,61,72,73,75,76,75,77,80,80,69,78,78,80,76,76,73,73,68,82,76,74,44,56,72,64,36,54,87,90,88,86,85,71,82,86,84,80,76,77,76,75,74,71,79,75,67
29,pork chop recipes,22,"-20%","30%","-20%",76,89,94,92,88,89,85,69,89,85,84,83,79,72,77,63,74,71,64,69,56,66,73,75,74,74,77,81,80,66,79,76,76,75,73,73,72,65,81,81,75,43,58,71,63,34,58,85,96,91,93,89,74,86,85,83,80,76,76,73,71,70,67,75,71,62
30,breakfast casserole,22,"-8%","-80%","-20%",10,10,11,10,11,12,17,17,10,9,10,10,12,13,11,10,9,10,11,9,11,9,9,9,9,9,10,10,11,10,10,10,10,10,10,10,10,9,12,12,14,22,14,18,35,100,14,10,10,10,9,8,8,8,8,9,10,11,11,12,11,10,9,8,10,11
32,dessert recipes,22,"3%","4%","-7%",61,53,56,60,61,60,75,64,60,54,58,52,57,61,59,69,61,59,65,59,64,55,57,58,60,56,57,59,57,65,56,54,54,51,49,49,47,41,53,61,71,100,42,46,53,63,52,46,51,60,54,55,57,,,,,,,,,,,,,
33,easy dinner ideas,21,"-5%","30%","30%",80,80,87,85,73,70,79,83,98,100,91,93,95,81,76,67,72,74,67,66,56,63,66,70,70,76,83,90,79,69,72,62,59,56,56,54,53,46,56,48,49,31,49,51,46,24,34,40,46,42,47,50,47,,,,,,,,,,,,,
34,potato soup,20,"20%","-20%","-1%",23,25,25,23,21,22,22,17,17,12,14,12,12,11,9,8,9,8,7,7,7,8,8,10,11,12,14,17,18,22,38,39,50,52,49,71,61,60,79,69,69,47,73,73,60,56,52,100,76,87,45,35,41,33,29,27,25,24,23,20,17,15,14,15,13,10
35,meatloaf recipes,20,"-20%","20%","-10%",72,84,88,88,84,80,83,65,78,74,78,70,68,60,63,55,64,62,61,59,52,61,64,71,68,70,77,81,78,69,81,82,86,82,82,83,81,78,96,92,91,58,67,81,75,50,60,87,97,97,93,91,76,89,87,85,82,77,76,72,69,67,64,72,68,57
36,shrimp recipes,20,"-10%","20%","-20%",97,93,100,99,97,95,94,84,90,89,89,87,85,86,87,80,86,86,85,86,74,83,86,84,82,80,82,81,82,69,75,73,71,67,67,64,64,58,69,66,65,43,55,64,61,53,66,79,87,83,86,85,76,89,88,89,87,84,82,80,77,76,70,76,74,73
37,appetizer recipes,20,"40%","-60%","-20%",48,16,20,21,18,20,27,27,20,21,19,17,20,20,19,20,17,18,17,15,26,15,15,16,16,14,16,17,19,21,19,19,18,18,17,19,21,23,25,30,41,58,39,55,83,100,73,16,18,19,20,28,39,16,15,14,16,17,19,20,20,18,16,15,16,18
38,healthy recipes,20,"-20%","-30%","-20%",66,82,76,75,65,80,81,72,72,82,65,91,83,78,84,77,91,100,48,51,42,51,60,52,51,42,43,44,39,34,32,31,30,30,33,30,31,28,33,29,31,21,29,33,31,24,48,53,43,36,34,27,21,,,,,,,,,,,,,
39,crockpot chicken recipes,19,"-10%","10%","-20%",72,81,87,83,76,79,78,61,75,70,71,66,64,59,61,50,56,54,48,51,42,50,54,54,57,62,70,78,77,67,82,89,88,86,89,83,83,79,100,90,86,43,61,72,67,39,55,82,82,83,75,70,61,67,67,64,61,57,57,55,53,51,46,54,50,43
40,thanksgiving recipes,19,"-40%","-70%","-9%",1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,4,5,7,11,15,36,48,88,100,8,6,5,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,pasta recipes,19,"-5%","10%","-10%",100,94,95,97,98,99,98,84,90,89,84,76,75,74,77,73,77,74,71,72,67,74,73,74,75,74,75,76,76,74,73,73,73,70,71,71,68,62,77,74,71,51,67,74,70,55,71,78,79,84,79,81,76,,,,,,,,,,,,,
42,dinner party,19,"3%","-40%","-60%",100,70,63,28,30,40,21,88,90,61,76,70,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,4,3,2,2,1,1,1,,,,,,,,,,,,,
43,white chicken chili,19,"10%","-10%","-8%",39,36,30,26,24,22,24,16,18,14,16,13,12,11,10,9,9,9,8,8,7,9,9,11,12,14,18,23,22,29,56,52,65,74,76,100,87,97,100,81,78,48,75,77,62,47,49,92,75,86,54,43,48,44,35,30,28,26,24,21,18,16,14,16,14,10
44,cookie recipes,19,"0%","-30%","0%",39,31,32,35,36,35,39,30,32,32,34,34,35,32,35,37,35,35,35,36,36,35,38,38,40,39,39,39,37,37,36,35,35,35,36,39,36,35,45,52,56,63,69,92,100,88,33,35,38,46,38,39,39,36,37,38,39,39,38,37,35,34,34,37,38,37
45,cucumber salad,19,"-10%","20%","30%",17,19,22,23,23,24,25,27,28,29,28,29,29,34,36,47,39,42,49,50,67,56,58,59,64,81,90,92,100,89,67,54,44,38,36,32,31,27,32,28,26,22,20,21,21,18,28,43,43,39,39,39,34,34,36,39,43,45,45,49,51,58,57,58,60,64
47,chili recipe,18,"40%","-10%","-10%",40,30,24,21,20,19,21,14,15,12,14,11,11,10,10,9,9,9,8,8,9,9,9,11,11,14,17,21,22,32,60,51,67,68,67,100,80,88,84,67,67,46,73,70,51,38,39,93,69,83,43,35,48,36,29,24,22,21,20,17,15,13,12,14,12,9
48,christmas cookies,18,"5%","-100%","-20%",3,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,5,11,15,20,19,47,75,100,77,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,banana bread,17,"-5%","9%","-6%",79,92,97,97,95,95,100,84,94,88,90,86,87,80,86,91,86,83,82,83,84,83,85,87,87,88,95,98,98,99,99,94,96,89,93,88,81,78,94,92,90,92,74,85,82,85,71,91,94,100,92,93,88,,,,,,,,,,,,,
50,mac and cheese recipe,17,"20%","-50%","-8%",13,9,9,10,10,11,17,25,10,10,10,10,10,11,10,14,10,11,12,10,17,11,10,10,10,10,10,11,11,13,10,11,11,10,11,12,11,12,16,20,33,100,19,13,18,41,13,9,9,10,9,9,11,,,,,,,,,,,,,
