Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,,,,,,,,,,,,,
22,freezer meals,12,"-7%","5%","-10%",64,77,80,78,77,72,73,66,81,77,73,74,68,62,66,67,71,68,65,67,62,74,78,84,90,95,98,100,100,91,89,85,81,87,76,75,72,66,76,69,62,39,56,62,55,44,84,87,84,75,80,78,72,79,75,73,71,68,69,67,67,66,63,68,65,59
23,high protein low calorie meals,11,"-20%","2%","500%",11,13,19,18,18,18,20,18,21,20,19,21,22,30,36,33,37,38,36,45,42,56,47,53,63,63,74,70,66,45,61,66,64,64,58,57,57,51,57,48,48,28,47,47,40,30,81,100,100,95,77,66,56,,,,,,,,,,,,,
24,low calorie meals,11,"-10%","10%","-10%",78,74,92,100,78,80,76,79,81,79,81,76,75,72,73,73,77,74,72,75,60,69,68,69,64,57,60,56,55,52,54,54,49,47,45,47,47,40,48,44,42,26,48,43,37,28,66,84,73,71,70,70,62,68,74,76,73,68,68,66,69,66,63,64,60,57
25,easy healthy meal prep,10,"-30%","10%","30%",38,37,42,42,41,41,42,39,38,37,36,40,43,38,38,43,40,44,58,56,61,65,65,70,74,68,76,75,88,90,88,100,89,93,86,73,82,68,69,43,35,26,38,34,31,30,64,60,78,56,66,73,54,,,,,,,,,,,,,
26,one pot meals,10,"-20%","10%","-10%",78,89,94,89,83,87,81,74,82,80,83,76,74,73,75,67,71,71,62,67,59,69,74,81,83,80,87,92,94,85,96,99,93,94,87,89,88,83,100,90,91,53,77,82,79,47,76,96,97,89,91,94,78,82,79,78,76,73,72,70,68,68,68,71,70,64
27,high protein meal prep,10,"-20%","5%","10%",54,59,63,64,62,63,62,61,67,63,62,61,57,55,58,55,54,54,48,50,43,51,47,52,46,47,52,55,52,64,48,50,47,44,44,42,41,39,47,41,40,21,40,64,55,32,89,100,83,84,87,81,65,,,,,,,,,,,,,
28,summer meals,10,"-20%","100%","10%",1,2,3,4,5,6,6,7,39,31,21,26,25,32,68,61,63,100,81,98,68,70,57,37,30,23,14,10,11,4,3,2,1,1,1,1,1,1,1,2,3,3,3,4,7,12,18,18,17,20,27,,,,,,,,,,,,,,,
31,crock pot meals,9,"-5%","-7%","-6%",59,60,62,63,59,59,60,53,62,60,62,66,61,56,54,40,52,52,48,49,38,42,41,52,59,57,100,85,85,81,88,93,87,89,90,95,91,78,91,82,75,41,74,84,68,44,59,75,68,62,57,57,54,65,64,62,60,57,58,56,56,56,54,64,59,50
32,breakfast meal prep,8,"-20%","20%","10%",62,79,90,98,91,90,88,77,95,86,87,86,82,70,84,76,83,76,63,70,61,65,65,68,77,82,90,92,89,74,76,75,72,71,66,57,59,56,66,61,53,27,48,50,44,23,66,100,88,86,84,83,64,,,,,,,,,,,,,
34,easy meal prep,7,"-10%","20%","-5%",41,45,50,47,48,56,45,40,48,46,44,44,41,39,42,36,41,39,34,36,30,56,40,43,48,51,49,56,100,46,47,48,48,45,44,40,39,36,45,38,36,17,33,34,28,14,41,56,50,47,49,47,41,,,,,,,,,,,,,
35,easy crockpot meals,7,"-8%","-4%","-20%",54,60,63,61,60,63,61,49,61,58,59,54,52,47,51,40,45,44,40,44,34,42,43,49,54,60,76,82,84,75,87,93,96,90,91,85,81,82,100,88,84,45,73,77,69,41,62,84,74,67,65,61,56,60,63,61,60,61,62,62,61,60,55,64,62,54
36,casual preppy outfits,6,"10%","20%","200%",15,11,11,8,9,7,6,5,5,9,8,8,10,9,7,7,6,7,13,19,24,34,34,69,88,73,59,100,54,43,44,53,53,58,56,51,50,34,32,19,10,6,5,4,4,4,4,4,4,5,4,5,6,,,,,,,,,,,,,
37,low calorie high protein meals,6,"-10%","20%","10%",53,67,70,72,68,71,67,67,73,75,71,73,71,65,73,69,74,75,71,72,59,65,65,65,71,66,68,65,62,54,60,55,55,54,47,49,53,47,53,49,49,27,50,49,41,33,81,100,94,95,95,90,79,,,,,,,,,,,,,
38,lunch meal prep,6,"-20%","40%","-4%",70,70,86,89,67,71,64,53,78,67,65,66,63,56,58,51,61,56,48,50,41,54,53,61,76,70,78,78,75,61,59,63,59,57,54,45,46,42,52,47,40,16,38,35,30,14,45,72,67,68,74,73,56,77,72,66,63,58,56,54,55,53,47,59,58,48
40,easy meals for dinner,6,"-10%","10%","-40%",73,84,79,84,85,83,82,78,92,83,77,76,72,71,68,63,80,72,66,70,62,100,78,77,72,78,85,86,81,78,75,78,71,65,63,58,56,51,65,62,60,37,55,57,55,33,56,69,68,63,65,68,58,,,,,,,,,,,,,
44,meatless meals,6,"-9%","40%","-30%",88,100,72,66,59,57,56,46,39,36,34,39,36,33,36,35,40,40,38,37,35,42,40,43,44,43,45,47,46,41,44,45,39,34,35,28,32,31,37,33,30,21,22,20,16,13,22,33,32,35,35,35,31,,,,,,,,,,,,,
45,healthy meal ideas,6,"-10%","2%","40%",22,27,34,30,28,30,27,34,100,41,41,41,40,37,39,38,43,41,40,40,33,39,36,36,34,34,38,37,33,32,32,26,24,25,24,34,32,28,30,29,29,18,32,33,29,22,74,68,64,64,57,54,48,,,,,,,,,,,,,
47,meal prep lunch,5,"-20%","20%","40%",65,82,97,97,86,87,80,66,81,78,82,76,71,63,66,59,66,69,61,58,48,59,58,69,76,80,98,97,97,82,76,74,71,68,62,56,56,52,64,56,52,22,50,47,38,21,71,100,91,89,89,86,68,,,,,,,,,,,,,
48,meals with ground beef,5,"-9%","60%","4%",44,49,48,49,47,48,46,41,49,48,48,47,46,47,46,42,48,46,44,54,39,45,46,50,47,48,48,48,50,44,47,48,47,48,48,45,46,44,54,48,48,27,53,59,55,29,47,78,98,98,100,100,91,,,,,,,,,,,,,
49,healthy meal prep for the week,5,"-20%","-30%","-20%",39,46,53,47,45,45,42,36,42,32,31,31,29,27,26,27,28,28,24,24,23,36,31,36,40,46,100,59,50,50,52,54,53,53,49,47,57,53,68,56,45,21,44,43,34,23,66,70,43,37,38,37,29,,,,,,,,,,,,,
